compound,concentration_mM,annealing_T,molecular_weight,C,H,Br,I,N,Hbond_donor,rotatable_bond,topPolar_area,heavy_atom,complexity,xlogP,param1_r,param2_r,xinterp_r,max_x_r,param1_g,param2_g,xinterp_g,max_x_g,date
PTEAI,15,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.23006,-147.16,639.66,1044.9,0.26571,-180.36,678.77,1065.9,20190911
PTEAI,5,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.24141,-96.141,398.25,768.68,0.2621,-104.55,398.9,771.68,20190911
PTEAI,10,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.10687,-64.049,599.34,1207.1,0.11914,-70.82,594.45,1207.1,20190911
PTEAI,15,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.19255,-100.63,522.63,966.87,0.21088,-115.38,547.12,999.88,20190911
PTEAI,5,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.46816,-140.07,299.2,522.43,0.52316,-164.47,314.37,531.45,20190911
PTEAI,10,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.15816,-55.977,353.92,891.8,0.15208,-48.853,321.24,930.83,20190911
PTEAI,15,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.12864,-54.851,426.4,1020.9,0.13295,-55.131,414.68,1029.9,20190911
PTEAI,10,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.39125,-172.81,441.69,597.43,0.47449,-219.97,463.59,597.43,20190921
PTEAI,10,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.44722,-184.21,411.9,597.43,0.54141,-233.3,430.92,597.43,20190921
PTEAI,10,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.4452,-184.91,415.35,597.43,0.46841,-194.55,415.34,597.43,20190921
TBABr,5,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.33415,-130.55,390.69,921.68,0.36092,-146.4,405.62,2954.1,20190627
TBABr,10,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.26279,-82.031,312.15,912.68,0.2569,-75.641,294.44,3044.2,20190627
TBABr,15,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.23609,-52.937,224.23,948.72,0.24694,-59.155,239.56,2404.8,20190627
TBABr,5,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.34163,-143.7,420.63,861.63,0.38251,-169.48,443.06,3002.2,20190627
TBABr,10,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.24115,-80.927,335.58,1071.8,0.23678,-75.992,320.94,2969.2,20190627
TBABr,15,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.29086,-100.59,345.83,909.68,0.29239,-101.54,347.28,1110.8,20190627
TBABr,5,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.35811,-137.2,383.12,915.68,0.34843,-130.1,373.38,2714,20190627
TBABr,10,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.2228,-68.982,309.61,999.75,0.22912,-73.877,322.43,2557.9,20190627
TBABr,15,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.25403,-80.608,317.31,930.7,0.26571,-87.988,331.14,2467.8,20190627
TBABr,5,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.30126,-104.27,346.12,879.65,0.29694,-100.28,337.7,2626.9,20190627
TBABr,10,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.26345,-103.47,392.75,981.73,0.25939,-101.3,390.55,2455.8,20190627
TBABr,15,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.26744,-144.78,541.36,1113.8,0.2738,-151.7,554.03,1161.9,20190627
TBABr,5,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.441112794,-128.0650048,290.3225806,627.5,0.481122263,-149.292427,310.3003926,693.55,20191119
TBABr,5,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.322623896,-108.582597,336.5609259,726.583333,0.3130614,-104.468012,333.6981567,783.633333,20191119
TBABr,5,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.322919708,-106.5151872,329.8503762,864.683333,0.331158101,-104.8656784,316.6634854,891.716667,20191119
TBABr,5,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.375209025,-147.2334818,392.4038928,804.65,0.362866622,-138.9595222,382.9493088,849.683333,20191119
TBABr,10,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.300260235,-105.2046969,350.3783875,906.716667,0.26610219,-87.08321168,327.2547729,921.733333,20191119
TBABr,10,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.325839416,-125.7747654,386.0023041,864.683333,0.292652068,-106.2773723,363.1526438,864.683333,20191119
TBABr,10,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.307040988,-115.2565974,375.3785385,942.75,0.31589596,-120.7297214,382.1819105,978.783333,20191119
TBABr,10,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.330467817,-116.1952555,351.6083853,861.683333,0.321856934,-111.3670073,346.0140063,888.7,20191119
TBABr,15,100,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.258710462,-92.98905109,359.4328976,885.7,0.28690263,-113.5603911,395.8150922,927.75,20191119
TBABr,15,125,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.312448755,-108.6065393,347.5979263,807.65,0.366066504,-139.9172749,382.218185,828.666667,20191119
TBABr,15,50,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.305117172,-123.2512486,403.947269,888.7,0.3506519,-151.1016864,430.9164908,927.75,20191119
TBABr,15,75,322.375,16,36,1,0,1,0,12,0,18,116,5.3,0.387185726,-177.0024331,457.1512359,888.7,0.376344526,-172.2823358,457.7782433,906.716667,20191119
tBAI,10,100,210.051,4,12,0,1,1,1,0,27.6,6,25.1,0.3,0.8228,-57.696,70.1258,230.0833,0.845,-53.8895,63.7746,225.0833,20190530
TBAI,5,50,369.375,16,36,0,1,1,0,12,0,18,116,5.3,0.31414,-100.55,320.06,900.67,0.30516,-92.133,301.91,2617.9,20190611
TBAI,10,50,369.375,16,36,0,1,1,0,12,0,18,116,5.3,0.41167,-133.99,325.48,810.6,0.45792,-157.13,343.14,822.62,20190611
TBAI,15,50,369.375,16,36,0,1,1,0,12,0,18,116,5.3,0.26465,-109.32,413.09,1041.8,0.27299,-113.77,416.74,1047.8,20190611
TBAI,5,75,369.375,16,36,0,1,1,0,12,0,18,116,5.3,0.31908,-118.47,371.3,900.67,0.32914,-123.34,374.74,2617.9,20190611
TBAI,10,75,369.375,16,36,0,1,1,0,12,0,18,116,5.3,0.32392,-107.12,330.69,948.7,0.34532,-117.94,341.53,2590.8,20190611
TBAI,15,75,369.375,16,36,0,1,1,0,12,0,18,116,5.3,0.281,-116.16,413.38,1041.8,0.29418,-125.7,427.27,2275.6,20190611
